10435,手机游戏、手机游戏--棋牌游戏,5605;9515;20253;12101;8099;6081;12798;13173;7030;9046,口袋德州扑克;欢乐围棋;国际象棋;跑得快;博雅四川棋牌;围棋宝典;干瞪眼;卡五星;咪咕棋牌;正宗四川麻将
2244,手机游戏、手机游戏--游戏助手,5639;115705;17830;12218;17455;6914;15348;102059;2890;5752,找乐助手;腾讯充值;冒泡网游;剑灵掌游宝;完美刀塔助手;奇迹暖暖掌游宝;我的世界合成表;掌上王者荣耀;英雄联盟控;游戏多
100552,手机游戏、手机游戏--休闲游戏,2630;15955;5271;16766;20639;5725;108629;8019;33824;6752,全民泡泡大战;农场英雄传奇;爸爸去哪儿2;切水果消消乐;宝石仙境-天天消宝石;全民连连消;糖果联机;3D桌球;熊猫泡泡;天天街机捕鱼
4297,手机游戏、手机游戏--棋牌游戏,5363;7539;5339;2827;2840;9022;5793;7319;3913;12579,够级;航海王强者之路;同城游打大A;天天德州;赢话费斗地主;快乐飞行棋;蜘蛛纸牌;经典单机麻将;博雅四人斗地主;空当接龙
8395,手机游戏、手机游戏--休闲游戏,1283;931;17770;1532;10127;1277;100795;6161;3518;3571,腾讯桌球;PopStar！消灭星星;消灭星星3-糖果宝贝;QQ农场;红蓝大作战2;会说话的汤姆猫;水果忍者;全民钓鱼;熊出没之疯狂弹射;找你妹2015
4302,手机游戏、手机游戏--角色扮演,12756;105901;100338;93606;18156;9024;1803;125838;119792;1180,模拟山羊;诛仙;御剑情缘;新剑侠情缘;Fate/GO;新大话西游2;果宝三国;寻仙手游;龙之谷;龙珠激斗
2258,手机游戏、手机游戏--模拟经营,2102;19833;11993;118053;4790;6034;115462;7866;101594;3741,全民农场-欢乐集市;晴天小猫;真实武器模拟器;猫咪后院;暖暖环游世界;去吧皮卡丘;未上锁的房间-昔日之罪;模拟人生;孤岛求生;卡通农场
116947,手机游戏、手机游戏--角色扮演,127830;101229;12353;5655;19301;118439;20244;33376;29222;115982,命运冠位指定;圣斗士星矢-重生;狂斩三国2;斗龙战士3龙印之战;倚天屠龙记;剑侠世界;新仙剑奇侠传;暗黑黎明;MR魔法英雄;黎明之光
2261,手机游戏、手机游戏--游戏助手,3131;1274;584;115709;5647;974;1568;1867;115676;3157,八门神器;网易将军令;虫虫助手;360游戏大厅;沃游戏;咪咕游戏;啪啪游戏厅;我的世界联机盒子;游戏蜂窝;小鸡模拟器
8409,手机游戏、手机游戏--策略游戏,11285;10479;24307;7766;125837;10905;7068;6538;20435;10646,红色警报2共和国崛起;米拉奇战记;山羊大碰撞;无尽之战;真龙霸业;暴击僵尸;乱斗西游2;城堡争霸-遗落之境;要塞围城;世界征服者3
20699,手机游戏、手机游戏--模拟经营,7155;13683;8285;101756;124158;118924;118296;108327;8829;27689,钓鱼看漂;合战忍者村;开心农场-糖果节;猎鹿人2014;碧蓝航线;辐射-庇护所;模拟城市-建造;城市岛屿2;抢车位;刘备磕头
10460,手机游戏、手机游戏--角色扮演,100272;107943;119641;7257;12588;120246;11265;9228;13559;119390,异形大战铁血战士-进化(完美版);天下;影之刃2;This War of Mine;征途;仙境传说RO;全民奇迹;艾诺迪亚4;神雕侠侣;大航海之路-雨林探险
108764,手机游戏、手机游戏--策略游戏,8422;12188;10037;9637;18216;11113;8882;5429;14619;25937,坦克前线帝国;城堡突袭2;小小军团;七雄争霸;王国保卫战-起源;帝国塔防2;巨炮战队;龙骑帝国;战警-大国崛起;混沌与秩序-英雄战歌
223,手机游戏、手机游戏--棋牌游戏,609;335;989;1455;2549;2343;1016;1333;1076;2571,欢乐麻将;JJ斗地主;天天象棋;QQ欢乐升级;途游斗地主;博雅中国象棋;单机斗地主(开心版);JJ比赛;四川麻将;同城游
2272,手机游戏、手机游戏--棋牌游戏,3309;100486;5342;115450;2160;2025;4695;9356;5363;7539,斗地主;JJ麻将;达人麻将;闲来麻将;JJ欢乐斗地主;小米斗地主;五子棋大师;欢乐五子棋;够级;航海王强者之路
2274,手机游戏、手机游戏--街机游戏,5061;20999,拳皇97;抓玩具
18660,手机游戏、手机游戏--射击游戏,124113;6476;1096;17229;3551;97876;8231;115650;100478;11730,光荣使命-使命行动;火线精英;全民突击;精英部队;全民枪战;弹弹岛2;僵尸前线3D;御龙在天;火线指令- 诺曼底;3D坦克争霸
12517,手机游戏、手机游戏--赛车游戏,124142;1807;115586;1127;3988;6682;5033;1000001;6848;3555,QQ飞车手游;登山赛车;城市飞车-极盗车神;天天飞车;登山赛车-天朝历险;真实赛车3;猪猪侠百变飞车;3D终极狂飙4;主驾驶;狂野飚车8-极速凌云
8422,手机游戏、手机游戏--策略游戏,5696;6818;4269;10379;10157;12188;10037;9637;18216;108764,横扫千军;战舰帝国-舰队对战;全民主公-巅峰竞技;三国群英传一;小小指挥官2;城堡突袭2;小小军团;七雄争霸;王国保卫战-起源;沼泽派对
10469,手机游戏、手机游戏--休闲游戏,8683;105596;106612;2217;6289;5254;5231;4958;105795;8233,跳跃忍者;见缝插针;糖果粉碎苏打传奇;史上最难强迫症游戏;愤怒的小鸟2-猴年套装;愤怒的小鸟-变形金刚;会说话的狗狗本;找你妹;泡泡龙亚特兰蒂斯;快乐捕鱼
10479,手机游戏、手机游戏--策略游戏,11271;100778;1594;104426;11285;24307;7766;125837;8409;10905,功夫熊猫3;巅峰战舰;全民超神;梦幻诛仙;红色警报2共和国崛起;山羊大碰撞;无尽之战;真龙霸业;饭店物语;暴击僵尸
